essay,error,message,category,frase
17,AS_VEZES_BR,Substitua «as vezes» por “às vezes”.,MISC,"O bom senso é algo que perdemos nessa sociedade contemporânea e imediatista, tanto para um lado dos que veiculam a informação tanto para os que têm o poder de regular essas informações, as vezes causa-se um mal estar desnecessário de ambos os lados por não conhecerem seus limites e aí é um dever da justiça barrar"
18,DENTRO_DE_DA_DAS_DO_DOS_EM_NA_NAS_NO_NOS,Substitua por “no”.,MISC," Essa contradição de valores se conflitua simplesmente por serem muito soltas dentro do espaço constitucional, ou seja, não existem um ""teto"" para esses direitos conforme existem para tanto outros; liberdade religiosa, política que embora entendidas como ""liberdade"" são submetidos à certas restrições, pois a liberdade de um termina, quando se inicia a do outro o mesmo se aplica à inviolabilidade da vida privada, a menos que se tenha ""sujeira debaixo do tapete"""
27,ESQUECEU-SE_QUE,Substitua por “esquecendo-se de que”.,MISC,"Sabe-se que a sociedade atual parece não existir pessoas que se importa com o próximo,  esquecendo-se que o seu direito termina quando o do outro começa, cada um busca o seu próprio interesse, sem pensar que muita das vezes está sendo injusto com o próximo"
37,DIFERENTES,Substitua por,MISC," Temos que ser diferente e fazer a diferença, não necessariamente precisamos se calar diante certas situações, se estar ruim, temos que ao menos tentar mudar a situação e não praticar o mesmo"
64,NADA_HAVER_BR,Substitua «nada haver» por “nada a ver”.,MISC, Mas é essencial ter cuidado para que o desejo não seja maior que os fatos e a verdade; julgar somente com indícios não tem nada haver com justiça
97,AO_MESMO_TEMPO-EM_SIMULTANEO,Substitua por “em simultâneo”.,MISC,"No Brasil, a Filantropia que é mais vista são dos programas de TV, eles usam essa atitude para conseguir mais audiência, tornando uma atitude feia e bonita ao mesmo tempo; Feia : por usar a boa ação como moeda de troca e Boa : por ser divulgada, assim, incentivando as pessoas a fazer o mesmo, e também existem vários Institutos e ONGS que ajudam as crianças de baixa renda a seguirem o caminho do esporte e dos estudos"
104,A_NIVEL,Substitua por “ao nível”.,MISC, Para melhorar esses índices são necessárias muitas outras ações a nível social e educacional que acrescentem e não retirem nada do que já conquistamos
117,O_QUANTO_ANTES_BR,Antes da locução adverbial quanto antes não se usa artigo definido o. Substitua «o quanto antes» por “quanto antes”.,MISC,A não obrigatoriedade dessas duas competências acabaria por levá-las à extinção a longo prazo visto que um aluno optará por deixar o recinto escolar o quanto antes puder
159,MENAS_BR,O Advérbio “menos” não sofre alteração de gênero.,MISC,"Essa pratica nao exclusiva de países emergentes, também e vista em nações desenvolvidas, porém, com menas frequência já que os governantes cobram mais resultados na fiscalização, uma vez que essa prática interfêre diretamente no crescimento ecônomico e social do país"
167,AO_MEU_VER_BR,Substitua «ao meu ver» por “a meu ver”.,MISC,"Acredito que um dos grandes desafio de uma sociedade ""supostamente"" moderna é extinguir da cultura humana o autoritarismo no trabalho que prevalece de sobre os homens de várias maneiras, a mais frequentes delas ao meu ver é o desrespeito as leis trabalhistas talvez essa seja a de menor gravidade, considerando inúmeras denuncias corriqueiras que lemos em jornais, trabalhadores em condições sub-humanas, onde até água para os braçais era racionada parece coisa de outro mundo, mas foi aqui no Brasil mas precisamente no Estado do Pará presenciado por Auditores do TrabalhoNessas situações o que faltou para um trabalhador na vida, para ele se sujeitar a esse tipo e situação, talvez a necessidade de sustento da família, falta de uma educação adequada, e essa cultura de escravizar vai passando de geração em geração, tanto para quem a pratica quanto aqueles que sofrem esse tipo de agressão moral, crianças deixam de estudar para ajudar nas despesas de casa, e quanto mais isolados esses trabalhadores o numero de pessoas nessas condições só aumentam"
