essay,error,message,category,frase,comp1,url
0,SPACE_BEFORE_PUNCTUATION,Remova o espaço antes deste sinal de pontuação.,TYPOGRAPHY,"Nessas épocas, as pessoas também sofriam graves violações em suas vidas privadas por meio de tortura e constrangimentos, por exemplo, mas com a ascenção da democracia no ocidente , esses direitos foram amplamente protegidos por lei.",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/conflito-entre-liberdade-de-expressao-e-intimidade-bom-senso-e-necessario.htm
1,DASH_RULE,"Se não pretende unir duas palavras, deve utilizar o travessão.",TYPOGRAPHY,"Entretanto, quem é contra a decisão judiciária afirma que a ordem se trata de uma forma de censura, pois as imagens divulgadas do caso foram retiradas do processo judiciário público – isto é, qualquer pessoa tem o direito de acessar – e abordam tema de interesse social.",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/entre-direitos-individuais-e-escandalos-politicos.htm
1,WHITESPACE_RULE,Possível erro de escrita: você repetiu um espaço em branco,TYPOGRAPHY,"Inegavelmente, o ato de hackear é crime, e o executor desse caso está pagando sua pena, mas deveria ser aberto um novo processo – em segredo de justiça, para que não haja a inviolabilidade da imagem da pessoa – para descobrirem se existe ou não marqueteiro(s)  à trabalho para o atual Presidente da República, pois a justiça deve ter prioridade sobre qualquer direito individual.",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/entre-direitos-individuais-e-escandalos-politicos.htm
13,COMMA_PARENTHESIS_WHITESPACE,"Insira um espaço depois da vírgula, mas não antes dela",TYPOGRAPHY,"Contudo, o jornal quis aproveitar a situação e pegar carrona na noticia , mas não percebendo a desagradavel situação.",0.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/direito-de-liberdade.htm
36,PARENTESESE_AND_QUOTES_SPACING,Um dos espaços é desnecessário. Deve excluí-lo.,TYPOGRAPHY,"Aristóteles, um dos três grandes filósofos  Socráticos da Grécia Antiga, em seu livro, ""Ética a Nicômaco"",  disse;  "" O bom juiz é aquele que julga, honestamente, somente aquilo que  conheces "".",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/eu-juiz.htm
184,SEMICOLON_COLON_SPACING,Deve colocar um espaço após ‘:’.,TYPOGRAPHY,"Mas a Educação transformas pessoas costuma se dizer que:Pensamento gera ação, ação gera habito, habito gera caráter e caráter gera o seu destino.",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/estupro-uma-mancha-na-alma-feminina.htm
272,UNPAIRED_BRACKET_SUGGESTIONS,Utilize uma aspa de fecho.,TYPOGRAPHY,Muitos se fizeram a pergunta: ‘‘meu emprego está em risco por causa da tecnologia?,0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/sem-titulo-093.htm
279,SPACE_AFTER_PUNCTUATION,Coloque um espaço depois das reticências,TYPOGRAPHY,"""Mudaram as estações, nada mudou..."".",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/dura-batalha.htm
404,SENTENCE_WHITESPACE,Adicionar um espaço entre as frases,TYPOGRAPHY,"A intolerancia religiosa no Brasil, ainda é um problema a se resolver. Embora o país seja aberto a todos os tipos de religiao , a aceitação de algumas como candoblé, umbanda gera preconceito que muitas vezes causado pelo desconhecimento da doutrina, causa além de insultos, agressões que são considerados até crime.Já no século XVII Voltaire pensador iluminista, defendia a liberdade de pensamento e era bastante critico quando se referia a intolerancia religiosa. O país é laico pois 95% das pessoas são cristãos , e o fanatismo predomina, e dogmas e crenças que contradiz o que o cristianismo ensina, é incoerente a pratica de repressão.È  inviolável a liberdade de conciencia  e de crença, é livre o exercício de cultos religiosos como descreve o artigo 5, da constituição  federal.Em virtude dos argumentos citados, a necessidade das politicas publicas principalmente as que são voltadas para direitos humanos, visionarem mais o que acontece, é tolerante e é uma causa urgente. As escolas devem ser ""Berços para impor no Brasil, pessoas pensantes e igualitárias.",0.5,http://educacao.uol.com.br/bancoderedacoes/redacao/a-fe-nao-mora-na-igreja.jhtm
480,SI_UNITS_EXPONENT,Os expoentes devem estar em sobrescrito.,TYPOGRAPHY,000 km2.,1.0,http://educacao.uol.com.br/bancoderedacoes/redacao/o-espirito-da-abundancia.jhtm
576,CHEMICAL_FORMULAS_TYPOGRAPHY,Os números nas fórmulas químicas devem estar em subscrito.,TYPOGRAPHY,"A grande emissão de CO2 tem causando grandes problemas no efeito estufa, devido a grande quantidade de carros que circula todos os dias no país.",0.5,http://educacao.uol.com.br/bancoderedacoes/redacao/bicicletas-uma-iniciativa-que-pode-mudar-o-dia-a-dia.jhtm
714,PERCENT_WITHOUT_SPACE,Escreva a percentagem sem espaços (estilo padrão).,TYPOGRAPHY,"Nós últimos meses foi feito uma pesquisa, onde o índice de brasileiros que apoiavam a copa caiu de 80% para 52 %, ainda se tem maioria.",0.5,http://educacao.uol.com.br/bancoderedacoes/redacao/sem-titulo-054.jhtm
775,NO_SPACE_CLOSING_QUOTE,Deve espaçar depois de fechar aspas.,TYPOGRAPHY,"Podemos perguntar a esses indivíduos que estão puramente movidos a ganhar dinheiro,  “Imagine se seus pais, irmãos ou até filhos tiverem que conviver todos os dias com um livro acusando familiares queridos por tempo indeterminado, ”Ha quem diga ah e o motivo informar o mundo sobre a história do seu povo, eu posso argumentar o seguinte: de quem estamos falando?",0.0,http://educacao.uol.com.br/bancoderedacoes/redacao/biografias-personagens-e-autores-em-confronto.jhtm
822,DEGREE_SYMBOL,"Se está a indicar graus, utilize o símbolo “ °C”.",TYPOGRAPHY,"Neste satélite, as temperaturas chegam cerca de 100 ºC durante o dia e -175 ºC a noite.",1.5,http://educacao.uol.com.br/bancoderedacoes/redacao/medo-de-pisar-nao-andaras.jhtm
954,LOOSE_ACCENTS,Caratere incorreto. Utilize antes o apóstrofe ou reveja a acentuação.,TYPOGRAPHY,"Sem ela o capitalismo não anda: esse mecanismo funciona da seguinte forma,  as pessoas são induzidas a comprar cada vez mais, para satisfazer seu falso desejo de felicidade; pois ´isso que faz o capitalismo: criar falsos desejos, fazendo você pensar que aquele determinado objeto seja necessário para sua felicidade, esse sentimento é momentâneo.",1.0,http://educacao.uol.com.br/bancoderedacoes/redacao/a-engrenagem-do-capitalismo.jhtm
1178,UNITS_OF_MEASURE_SPACING,Deve dar um espaço entre o valor e a unidade de medida: “378 kg”,TYPOGRAPHY,"Como evidenciado pela pesquisa realizada pela Associação Brasileira de Empresas de Limpeza Publica e Residuos Especiais (ABRELPE), a produção de resíduos urbanos, em 2010, foi cerca de 6,8% superior se comparado ao ano de 2009, alcançando aproximadamente 61 milhões de toneladas de lixo produzido em apenas um ano, com uma produção média de 378kg de lixo por habitante no Brasil.",1.5,http://educacao.uol.com.br/bancoderedacoes/redacao/o-monopolio-da-destruicao-monopolio-da-destruicao.jhtm
