essay,error,message,category,frase
2,REDUNDANT_CONJUNCTIONS,Possível fragmento. Utilize apenas uma conjunção deste tipo.,REDUNDANCY,"No tempo da ditadura antes de ser colocado num jornal uma notícia, tinha que primeiro ser liberada pelas autoridades da época , viviam sob o jugo, com mordaças em suas bocas, e qualquer um que se opusesse ao sistema de governo, era perseguido duramente, a ponto de perderam suas vidas por defenderem qualquer ideal que fosse contrário ao sistema de governo da época, mas essa liberdade tão duramente alcançada a custo do derramamento do sangue de muitos brasileiros, não dever ser usada de maneira arbitrária a ponto de ferir a intimidade de qualquer cidadão; no dia 16 de agosto de 94, tivemos um grande exemplo mostrando que a liberdade de expressão tem seu limite,  a TV Globo teve que se retratar ao vivo perante todo o país, pois então o governador do Rio de Janeiro Leonel Brizola sentiu-se ofendido, requerendo assim os seus direitos, e por esses dias foi visto por todo o país o Jornal a Folha de S."
7,PT_REDUNDANCY_REPLACE,‘um outro’ é um pleonasmo. É preferível dizer “outro”,REDUNDANCY,"Ou seja, todos têm o direito de se expressarem livremente, desde que o que expressem não viole a intimidade de um outro indivíduo."
9,WORDINESS,Expressão desnecessariamente complexa. Procure alternativas.,REDUNDANCY,"A liberdade de expressão é um direito constitucional que não pode ser censurado, mas tal direito não dá liberdade para a violação da intimidade, que também é um direito previsto na constituição, o meio pelo qual essa informação é obtida também é algo para ser levado em consideração."
18,REDUNDANCY_34_JUNTAMENTE,Pleonasmo. Substitua por:,REDUNDANCY,"Mediante o exposto, os legisladores devem reformular esses direitos, estabelecendo limites, para que eles não se conflitue e se contradigam, assim como também se deve esclarecer esses limites nas escolas, como sendo uma das instituições fundamentais da sociedade, é juntamente com a comunidade, tornando a mais conciente de seus direitos e limites deles, pois ""nossos esforços conjuntos desafiam as impossibilidades"" - Charles Chaplin."
39,REDUNDANCY_JUNTO_COM,Pleonasmo. Substitua por:,REDUNDANCY,"Porém, assim como bem e mal, sua concepção é construção social junto com a moral e a ética do indivíduo."
61,REDUNDANCY_44_PLEBISCITO,Pleonasmo. Substitua por:,REDUNDANCY,"Tanto na recente eleição de Donald Trump como presidente dos EUA, como o plebiscito popular do Brexit, percebe-se que o povo fez escolhas que, contrárias a opinião de uma outra grande parcela do eleitorado, e até mesmo de especialistas, não foram boas."
61,REDUNDANCY_FACTO,Pleonasmo. Substitua por:,REDUNDANCY,"Restando, mais os fatos verídicos que é o que realmente importa para um rumo consciente."
62,REDUNDANCY_29_FATO,Pleonasmo. Substitua por:,REDUNDANCY,"Com a modernidade das redes sociais, todo o conteúdo da internet à disposição e o fato de não precisar se expor para opinar, deixa o terreno ainda mais propicio para muitos falarem o que querem sem se importarem com a verdade e com os fatos reais."
63,REDUNDANCY_CRIAR,Pleonasmo. Substitua por:,REDUNDANCY,"Logo, se as pessoas não se permitirem a pensar, a criar novas opiniões, serão sempre influenciadas a acreditar na sua pós-verdade, única e absoluta."
120,CADA_VEZ_MAIOR_MENOR_CRESCENTE_DECRESCENTE,Substitua por “crescente”.,REDUNDANCY,É cada vez maior o número de jovens que apresentam o fenômeno narcisismo.
126,REDUNDANCY_5_AGRAVAR,Pleonasmo. Substitua por: ,REDUNDANCY,"O problema pode se agravar ainda mais se partimos da ideia de que esta pessoa possa se sentir maior do que a lei, abrindo assim margem para até mesmo crimes."
256,HÁ-ATRÁS,Com o verbo haver não é necessário usar “atrás”: “há muito tempo”.,REDUNDANCY,"povos de raças diferentes não se casavam e nem religiões se misturavam negros eram escravos, assim observado que a intolerância tem vindo há muito tempo atrás , e assim dando cumprimento a nossa atualidade."
