essay,error,message,category,frase
56,CLICHE_43_MUNDO,Frase-feita. Procure alternativas.,CLICHES,"Tornam-se adultos achando que o mundo é dos espertos, crentes que tirar vantagem de tudo a qualquer preço é o correto."
57,PT_CLICHE_REPLACE,‘lugar ao sol’ é uma frase-feita. É preferível dizer “REFORMULAR”,CLICHES,"Mesmo sendo um processo longo e continuo , para que sim busquem o seu lugar ao sol, mas não a qualquer custo."
68,CLICHE_326_CAIR,Frase-feita. Procure alternativas.,CLICHES,"Por conseguinte, as mentiras têm caído por terra deixando claro que temos sido submetidos através dos meios de comunicação a acreditar que nossos muros são intransponíveis."
72,CLICHE_450_TRAZER,Frase-feita. Procure alternativas.,CLICHES,"A pós-verdade traz um conceito onde a verdade real é deixada de lado e a opinião pública, baseada em convicções, crenças não averiguadas e manipulação midiática vem à tona."
85,CLICHE_339_COMER,Frase-feita. Procure alternativas.,CLICHES,"E também há uma má distribuição de recursos básicos como água e alimentos, através dos quais o ser humano consegue viver, tornando esse um dos maiores problemas enfrentados por nossa sociedade."
89,CLICHE_24_ABRAÇAR,Frase-feita. Procure alternativas.,CLICHES,"Somado a isso, precisamos abraçar a causa,  sair do nosso conforto nos colocarmos no lugar do próximo, ajudando não somente com capital , como também prestando algum serviço, levando alegria a um povo que tanto sofre."
323,CLICHE_27_ABRIR,Frase-feita. Procure alternativas.,CLICHES,"E, por isso, o povo brasileiro, abre mão de ações punitivas do estado, agregando a violência da justiça com às próprias mãos, que apesar de plausível, considerando um estado omisso contra a criminalidade, torna-se um círculo vicioso que gera ainda mais agressividade."
340,CLICHE_355_DAR,Frase-feita. Procure alternativas.,CLICHES,"Como o velho ditado popular que diz ""pau que nasce torto nunca se endireita"" podemos concluir que muitas das vezes esse ditado foi o oposto do que muitas pessoas vivenciaram, e apesar de terem por exemplo uma vida economicamente precária deram a volta por cima e obtiveram o sucesso que foi decorrente de seu esforço."
352,CLICHE_382_DEIXAR,Frase-feita. Procure alternativas.,CLICHES,"Visto que o sistema de aprendizado público deixa a desejar, seria necessário um maior investimento nos educadores da rede pública, sendo assim um verdadeiro ""estímulo"" para o profissional, afinal o professor é o responsável pelo saber do jovem."
641,CLICHE_312_BATER,Frase-feita. Procure alternativas.,CLICHES,"E devemos sempre batermos na mesma tecla, investir em educação,  principalmente nas regiões mais carentes."
685,CLICHE_126_POR,Frase-feita. Procure alternativas.,CLICHES,"Por incrível que pareça, em pleno século XXI, ainda é possível encontrar pessoas que insistem em ramificar pensamentos e atitudes racista ."
727,CLICHE_313_BATER,Frase-feita. Procure alternativas.,CLICHES,"A intenção foi manifestar-se de forma indireta, ou seja, sem cartazes nem passeatas, mas promovendo o lazer a si mesmo , fazendo novas amizades, batendo papo, etc."
834,CLICHE_457_TROCAR,Frase-feita. Procure alternativas.,CLICHES,"Mudar de casa, mas continuar jogando a poeira para debaixo do tapete é trocar seis por meia dúzia."
965,CLICHE_46_NÃO,Frase-feita. Procure alternativas.,CLICHES,"O que mais se vê atualmente são os consumidores compulsivos, aqueles que não estão nem aí para o dia de amanhã, que só pensam em diversão com os amigos e gastar seu dinheiro em roupas e sapatos de marcas famosas."
1016,CLICHE_3102_FAZER,Frase-feita. Procure alternativas.,CLICHES,Isso são problemas que todo mundo sabe que existe e as pessoas fazem vista grossa!
1186,CLICHE_22_ABANDONAR,Frase-feita. Procure alternativas.,CLICHES,"A coragem é o que nos faz gente, é o que nos leva a luta ao enfrentamento de situações que nos expõem ao perigo, e de nunca sermos como ratos ou de ser o primeiro a abandonar o barco na hora do perigo."
1363,CLICHE_357_DAR,Frase-feita. Procure alternativas.,CLICHES,"Ou será que alguém, na escola, ""deu bola"" quando ele, ainda pequeno, era alvo de gozações?"
1639,CLICHE_212_ACABAR,Frase-feita. Procure alternativas.,CLICHES,Desta forma a população não terá mais a sensação que tudo acaba em pizza.
1671,CLICHE_353_DAR,Frase-feita. Procure alternativas.,CLICHES,"Não se deve dar tanta importância a um caso como esse, enquanto fatos de relevância nacional não são dado a devida atenção."
1751,CLICHE_9_INSERIR,Frase-feita. Procure alternativas.,CLICHES,"A sexualidade inserida no contexto conjugal, por sua vez, é relativa; porém, é importante lembrar que o ser humano carrega as marcas deixadas por relacionamento anteriores por toda sua vida."
1979,CLICHE_398_ESTAR,Frase-feita. Procure alternativas.,CLICHES,"Temos a sensação de estamos de mãos atadas a essa situação, devido apostura de nossos governantes e órgão de proteção, como a nossa polícia, que despreparada não sabe distinguir bandidos de pessoas comuns."
2067,CLICHE_243_ARREGAÇAR,Frase-feita. Procure alternativas.,CLICHES,"Contudo, vale salientar que arregaçar as mangas, trabalhar duro, não esmorecer diante os insucessos e persistir, são ingredientes imprescindíveis para o sucesso, quer seja profissional, quer seja em outras áreas."
