essay,error,message,category,frase
1,BARBARISMS,Os estrangeirismos devem estar entre aspas ou ser italizados.,FORMAL_SPEECH,"Afinal, os fragmentos de texto propagados na internet são dispersos e pouco se pode concluir, mas se há crime por de traz das ações do Presidente Temer, é necessário que haja investigação policial."
4,CACOPHONY,"Cacofonia. Estas palavras, quando ouvidas, podem ser mal interpretadas.",FORMAL_SPEECH,"A liberdade de expressão e o direito a vida privada tem gerado um considerável conflito, essa problemática advém após jornais sofrerem uma censura por postar informações intimas sobre a vida do presidente da republica Michel temer e a primeira-dama Marcela temer ."
8,INFORMALITIES,Linguagem informal. Considere as alternativas.,FORMAL_SPEECH,"Alem disso as leis ajudam  á punir  esses abusadores que são chamados de ""hackers"" que invadem informações como  redes-sociais , bate-papos e contatos, expondo informações de total particularidade."
41,ARCHAISMS,Esta palavra é uma palavra de português arcaico. Tente utilizar uma alternativa.,FORMAL_SPEECH,Recursos estes que deveriam ser empregados em saúde e educação ou em politicas de crecimento para o estado .
56,ACHO_QUE,Linguagem informal. Considere as alternativas.,FORMAL_SPEECH,"É um ciclo vicioso, pois desde pequenas, as crianças veem seus pais, familiares tendo essas atitudes corruptas e acham que isso é natural ."
68,GENTILICOS_LINGUAS,Os gentílicos e línguas são escritos em minúsculas.,FORMAL_SPEECH,"Segundo a mitologia Grega , a cidade de Tróia foi tomada pelos Espartanos após várias tentativas infrutíferas de invadir a cidade."
91,AFIM_DE,Pretende dizer “a fim de”? Esta expressão pode ser interpretada de forma informal. Considere alternativas.,FORMAL_SPEECH,"Mas, em meio a tanta corrupção, também deve ser vista pela sociedade de maneira minuciosa afim de evitar mal-feitores ."
104,PP_OBJ_IND,"Na linguagem formal, é preferível usar o pronome pessoal no dativo.",FORMAL_SPEECH,"Neste tempo em que os estudantes ficam a maior parte de seu tempo conectados aos meios tecnológicos e sendo assim não praticam exercícios físicos, é imprescindível ofertar a eles a prática esportiva e a oportunidade para desenvolver habilidades artísticas."
135,CHILDISH_LANGUAGE,Linguagem infantil. Considere as alternativas.,FORMAL_SPEECH,"No nosso imaginário, de jovens em pleno momento de decisão da vida, o papai e a mamãe são o Superman e a Mulher Maravilha do mundo real, ou seja, os nossos salvadores na vida."
221,PROFANITY,Esta palavra é de baixo calão. Considere as alternativas.,FORMAL_SPEECH,"Há um foco tão grande em colocar a culpa em alguém que apenas mencionamos a presidente, acabamos nos esquecendo do fundamental, ela não é o que define a política do nosso país e a tirar de seu cargo pode até dar um falso consolo ao povo cansado de tanta corrupção, porém o impeachment não nos tirará da crise e não acabará com a corrupção."
268,IR_AOS_POUCOS_BOCADOS_BOCADINHOS,Linguagem informal. Pondere usar uma expressão alternativa.,FORMAL_SPEECH,"Abordada de maneira futurística e distante em ficções, tecnologia já se mostrou capaz de intervir e aos poucos substituir a atividade humana."
1969,SOB_O_PONTO_DE_VISTA,Substitua por “do”.,FORMAL_SPEECH,"Sob o ponto de vista da sociedade, talvez, a legalização do uso nos beneficiasse com um crime a menos no código penal, liberasse a polícia para ações mais relevantes, facilitasse a arrecadação de impostos sobre um novo produto e atraísse turistas para ""recreativamente"" consumir nossos baseados à moda brasileira."
