essay,error,message,category,frase,comp1,url
2,VERB_COMMA_CONJUNCTION,"Esta locução deve ser separada por vírgulas, e só deve ser utilizada no ínicio duma frase para efeitos de estilo.",PUNCTUATION,"Chega-se a conclusão que tem que haver uma harmonia entre a liberdade de expressão e a intimidade, para que se possa ter um país no qual a lei deva ser usada de maneira efetiva e trazer benefícios, em vez de confusão, não há de se falar em desrespeito ao liberdade de expressão, quando na verdade o objetivo da lei e trazer melhora, a Constituição não é uma ciência exata, mas para ser efetiva o equilíbrio é fundamental, liberdade com freio não é censura, mas sim harmonia",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/o-freio-na-liberdade-para-uma-maior-liberdade.htm
4,ORDINAL_ABREVIATION,A abreviatura deste ordinal é: “5.o”. Note que graus não são ordinais.,PUNCTUATION,"Desse modo, a primeira-dama ágil corretamente, pois ela goza dos mesmos direitos elencados no artigo 5º da Constituição Federal, portanto Federal",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/limites-entre-direitos.htm
8,UNPAIRED_BRACKETS,"Símbolo sem par: “""” aparentemente está ausente",PUNCTUATION," Há saberes diferentes""",0.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/liberdade-de-expressao-e-intimidadelimites-pessoais.htm
21,INTERJECTIONS_PUNTUATION,As interjeições devem ser finalizadas com pontos de exclamação ou interrogação.,PUNCTUATION," A justiça não precisa ser com violência, porém, quanto mais as pessoas praticarem este ato de injustiça, mais violência será gerada, então sim, preferimos estar com Sócrates, a ter o nosso caráter abalado",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/nao-seja-mais-um.htm
95,ALTERNATIVE_CONJUNCTIONS_COMMA,Conjunções alternativas ou disjuntivas devem ser separadas por vírgulas.,PUNCTUATION,Para que a filantropia seja ainda mais eficaz é necessário que os investimentos feitos seja implantado nas áreas sociais de maior expressão; como a educação e a saúde,0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/filantropia-aliada-da-populacao.htm
106,ENUMERATIONS_AND_AND,"Sempre que possível, deve utilizar só um ‘e’ nas enumerações. Caso contrário, segmente a frase com pontuação ou considere utilizar a ‘Oxford Comma’.",PUNCTUATION," Ambas são importantes para o desenvolvimento cultural, físico, e físico e educacional no país",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/ensino-medio-uma-reforma-significante-para-muitos.htm
204,DOUBLE_PUNCTUATION,Pontuação duplicada,PUNCTUATION," Mas e se a substância for a única solução para a pessoa?, para ter acesso da substância tem que entrar na justiça até os testes serem realizados e terem certeza que a cura do câncer está na fosfoetanolamina",0.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/a-cura-do-cancer-existe.htm
239,ABREVIATIONS_PUNCTUATION,"Se é uma abreviatura, falta um ponto.",PUNCTUATION," Por conta disso, vale ressaltar a frase do escritor Amós Oz de como solucionar tais casos: ""A tolerância deve se tornar intolerante para se proteger da intolerância? """,1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/intolerancia-contra-a-intolerancia.htm
252,ENUMERATION_COMMAS,Separe elementos de uma enumeração com vírgulas.,PUNCTUATION," Escute, aprenda e entenda o mundo a sua volta, e perceba que o mundo não é habitado apenas por você",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/intolerancia-programada.htm
310,HOURS_ABREVIATION,Abreviatura de horas errada.,PUNCTUATION,"Em julho de 2015 foram realizadas as fiscalizações nas barragens por parte da SUPRAM, onde a barragem foi considerada em total segurança, equipes de manutenção 24hs da Samarco também fazem suas inspeções diárias e mesmo assim não foram capazes de prever essa ruptura",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/crime-ambiental.htm
445,UNLIKELY_OPENING_PUNCTUATION,Sinal de pontuação isolado.,PUNCTUATION,", etc",0.0,http://educacao.uol.com.br/bancoderedacoes/redacao/um-novo-engodo-constitucional-chamado-estatuto-da-familia.jhtm
1491,REGARDS_COMMA,As fórmulas de despedidas são terminadas com vírgula.,PUNCTUATION,Obrigado,0.0,http://educacao.uol.com.br/bancoderedacoes/redacao/ult4657u796.jhtm
