essay,government:GOVERNMENT,probs:paronyms,punctuation:BEFORE_SENTENCES,repetition:DUPLICATED_TOKEN,xml:1,xml:10,xml:103,xml:104,xml:105,xml:107,xml:11,xml:111,xml:113,xml:114,xml:115,xml:117,xml:118,xml:121,xml:122,xml:124,xml:127,xml:128,xml:129,xml:13,xml:14,xml:17,xml:2,xml:21,xml:3,xml:39,xml:4,xml:40,xml:46,xml:47,xml:5,xml:50,xml:51,xml:52,xml:57,xml:58,xml:6,xml:61,xml:65,xml:67,xml:71,xml:73,xml:78,xml:79,xml:82,xml:84,xml:86,xml:87,xml:88,xml:9,xml:91,xml:95,xml:96,xml:97,comp1,palavras_por_texto,paragrafos_por_texto,palavras_no_paragrafo_1,palavras_no_ultimo_paragrafo,palavras_nos_intermediarios,palavras_unicas,quantidade_de_sentencas_longas,quantidade_de_paragrafos_com_sentenca_unica
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,350,4,74,104,172,147,1,0
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,372,3,70,86,216,133,2,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,184,4,41,31,112,99,0,2
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,227,4,52,48,127,132,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,276,4,37,74,165,114,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,233,4,48,36,149,84,1,2
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,149,3,45,23,81,48,0,1
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,222,4,59,36,127,106,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,222,5,46,48,128,117,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,127,4,17,41,69,61,0,2
