essay,error,message,category,frase,comp1,url
1,TRAZ_TRÁS,Substitua por “trás”.,CONFUSED_WORDS,"  Afinal, os fragmentos de texto propagados na internet são dispersos e pouco se pode concluir, mas se há crime por de traz das ações do Presidente Temer, é necessário que haja investigação policial",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/entre-direitos-individuais-e-escandalos-politicos.htm
4,PARONYM_REPUBLICA_543,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS,"A liberdade de expressão e o direito a vida privada tem gerado um considerável conflito, essa problemática advém após jornais sofrerem uma censura por postar informações intimas sobre a vida do presidente da republica Michel temer e a primeira-dama Marcela temer ",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/limites-entre-direitos.htm
4,PARONYM_ANALISE_363,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS,"Antes de apontar quem estar certo, é preciso fazer uma breve analise do conteúdo que foi exposto, haja vista que os fatos eram de cunho pessoal, ou seja, sem importância para a sociedade",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/limites-entre-direitos.htm
8,DIACRITICS,"Sem o acento, essa é a forma verbal da palavra. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS,  Uma vez que a liberdade de expressão  não é divulgar a vida pessoal de um  individuo e as leis previnem contra tal abuso,0.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/liberdade-de-expressao-e-intimidadelimites-pessoais.htm
10,PARONYM_ACIDULA_1,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS," Quanto aos veiculos de comunicação , deve ser seguido a mesma lei que é aplicada aos cidadãos, pelo fato de estar implantando uma opinião",0.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/direitos-vinculados-a-a-lei.htm
13,PARONYM_NOTICIA_224,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS," Contudo, o jornal quis aproveitar a situação e pegar carrona na noticia , mas não percebendo a desagradavel situação",0.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/direito-de-liberdade.htm
21,LP_PARONYMS,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS,"Existem os Justiceiros , que são pessoas que fazem justiça com as próprias mãos, que leva no caso a violência, quando uma pessoa pratica uma injustiça, além de estar corrompendo seu caráter, ela provoca em outras pessoas o mesmo sentindo de estar sendo injustiçado, o que provoca muitas vezes, muita violência",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/nao-seja-mais-um.htm
21,CONFUSÃO_ESTA_ESTÁ,Possível confusão de termos.,CONFUSED_WORDS,"O ato de praticar uma injustiça pode conter um motivo, mas foge do caráter humano, portanto quando você que sofre, e esta do outro lado, você sabe que sua ética e seu caráter estão intactos, vem com uma lição: ""não seja assim"", ""não seja mais um a praticar este ato""",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/nao-seja-mais-um.htm
30,PARONYM_PRATICA_246,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS,"É notório que, em tempos atuais, a pratica da injustiça tem sido bastante usada de forma frequente por pessoas na sociedade com altas patentes",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/justica-pratica-e-sofrencia.htm
31,CONFUSION_POR,"Se se refere ao verbo, substitua por “de pôr”.",CONFUSED_WORDS,"Em virtude do exposto temos por conclusão que as injustiças estão impregnadas na civilização desde seus primórdios e revelam um ciclo vicioso de sofrer injustiças e pratica-las , onde apenas uma transcendência cultural seria capaz de por fim a este fenômeno",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/o-homem-nasce-justo-a-injustica-o-corrompe.htm
33,PARONYM_A_ADJ_NOUN_CONFUSION,"Se pretende utilizar o verbo, não deve acentuar a palavra.",CONFUSED_WORDS," Então o que seria a justiça? algo que nos disciplinas e nós torna mais justo ?Como a pergunta de Polo à Sócrates ""Preferirias sofrer uma injustiça, ao invés de prática-la?""  a sociedade, hoje em dia, com toda certeza responderia, prática-la ",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/justica-uma-cura-moral.htm
35,PARONYM_ABRENUNCIO_1,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS,  E sem sombras de duvidas o conceito do mesmo se tornou comum no mundo atual,0.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/governo-sem-virtude.htm
37,AONDE_ONDE,‘Onde’ pode ser subsituido ‘em que lugar’. Pretende dizer: “aonde vai” ou “donde vai”?,CONFUSED_WORDS," E pra onde vai todo o dinheiro dos impostos que pagamos? Há pessoas que tem condições de pagar uma escola particular para seus filhos, uma faculdade ou até mesmo um convenio medico , mas a grande maioria não tem e tem que depender do estado",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/e-preferivel-praticar-ou-sofrer-uma-injustica.htm
37,PARONYM_CONVENIO_394,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS," E pra onde vai todo o dinheiro dos impostos que pagamos? Há pessoas que tem condições de pagar uma escola particular para seus filhos, uma faculdade ou até mesmo um convenio medico , mas a grande maioria não tem e tem que depender do estado",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/e-preferivel-praticar-ou-sofrer-uma-injustica.htm
41,PARONYM_POLITICA_523,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS, Recursos estes que deveriam ser empregados em saúde e educação ou em politicas de crecimento para o estado ,1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/corrupcao---cenario-atual.htm
42,ESTA_ESTÁ,Substitua por “está”.,CONFUSED_WORDS, A foto da moça que pegou todos os Gatorades que deveriam ser distribuídos para vários cidadãos fez com que muitos se dessem conta do problema moral que esta enraizado na cultura brasileira,2.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/a-corrupcao-de-cada-um-de-nos.htm
55,A_CERCA_ACERCA,Se estiver a referir-se a ‘sobre’ utilize: “acerca”.,CONFUSED_WORDS," Em consequência disso, é visível o mau planejamento nas áreas urbanas e o caos sobre a infraestrutura a cerca da saúde e da educação",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/corrupcao-o-grande-obstaculo-brasileiro.htm
68,PARONYM_POLITICO_524,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS,"No Brasil, a distorção dos fatos no cenário politico, faz a população acreditar na verdade imposta pela classe social majoritária, no entanto, o grupo de defensores da realidade, liderado pelo juiz federal Sérgio Moro, têm apontado tais distorções, deixando a nação com o livre arbítrio de acreditar ou não nas manipulações impostas",1.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/muros-e-mentes-nao-sao-intransponiveis.htm
70,HOMOPHONE_AS_CARD,Possível confusão de termos. A contração (a+as) escreve-se com acento grave.,CONFUSED_WORDS," Cria-se muitos noticiários através dos veículos de informação, que ás vezes, é apenas informação falsa para tentar ludibriar, persuadir ou até mesmo alguns personagens políticos esconder suas façanhas",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/a-verdade-por-tras-dos-fatos.htm
110,PARONYM_ESPECIFICO_432,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS, A educação física tem traços medicinais e suas áreas em especifico através do lúdico e ao esporte,0.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/a-opcao-pela-melhoria-educacional.htm
114,PARONYM_VITORIA_349,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS," Essa por meio da socialização, saber lidar com a vitoria e a derrota, a ser persistente, entre outros fatores",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/elas-fazem-a-diferenca.htm
122,PARONYM_PREFERENCIA_249,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS,"Contudo, o problema está longe se ser solucionado, pais e professores que mostram sua preferencia por um de seus filhos e alunos acostumam a criança a acha-se mais importante, e assim nas fases posteriores da vida também querem essa preferencia , e isso faz com que uma simples vaga de emprego a qual ele não foi selecionado o deixe frustrado",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/a-criacao-da-superioridade.htm
129,CONFUSÃO_À_HÁ,Para expressões de tempo/quantidade utilize ‘há’.,CONFUSED_WORDS," Chegando à um tempo de calmaria mundial, a população se ver cercada de tecnologia, que avançava sem parar",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/geracao-da-auto-estima-inflamda-autoestima-inflamada.htm
138,PARONYM_CRITICA_397,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS,"Para a não formação de uma sociedade narcisista,  os pais devem incentivar as crianças a reconhecerem seus erros e aceitarem as criticas de forma construtiva a reverem suas ações e mudarem seus modos de agir, assim ao se tornarem adultos terão em mente que todos devem ser respeitados",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/na-infancia-que-se-aprende.htm
138,PARONYM_TENDENCIA_329,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS,"Portanto, medidas como o incentivo de palestras nas escolas pelo MEC (ministério da educação ) e psicólogos são necessárias para a conscientização dos pais e filhos que nem sempre o dizer você esta certo é o correto e também cursos de aperfeiçoamento para os professores poderem reconhecer desde cedo a tendencia de crianças a serem narcisistas para que elas possam serem acompanhadas por psicólogos",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/na-infancia-que-se-aprende.htm
146,PARONYM_I_ADJ_NOUN_CONFUSION,"Se pretende utilizar o verbo, não deve acentuar a palavra.",CONFUSED_WORDS," O professor na escola discute e aborda suas ideias sejam elas críticas ou conservadoras, o aluno democraticamente escolhe qual segui-la ",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/o-professor-doutrina.htm
154,PARONYM_INFLUENCIA_168,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS,"É impossível não aceitar a influencia que um professor exerce sobre o aluno, o professor é na maioria das vezes um espelho e a partir dele o aluno cria as suas expectativas para o futuro",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/o-mestre-mandou.htm
155,PARONYM_CRITICO_398,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS,"É preciso pressão popular no parlamento para que o projeto não seja aprovado, todo professor merece liberdade para educar, todo aluno merece se tornar um cidadão critico , toda escola deve ser aberta a debates, não existe doutrinação comunista ou esquerdista, existe cada vez mais entre jovens uma preocupação com a igualdade social e isso esta sendo visto como ameaça pelos criadores do absurdo projeto de lei ""escola sem partido""",1.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/lei-da-mordaca.htm
162,PARONYM_DENUNCIA_84,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS," A CDHTRAF, em parceria com as mídias televisivas deveria conscientizar a população sobre a importância da denuncia de casos suspeitos",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/a-escravidao-nao-foi-abolida.htm
