essay,error,message,category,frase
1,SIMPLIFICAR_O_QUE_VERBO_VERBOGERUNDIO,Esta perífrase pode ser simplificada.,REDACTION_TIPS,"Os direitos fundamentais contidos na Constituição Federal não são absolutos, salvo algumas exceções conflitantes entre especialistas, o que abre margem para discussões em casos em que há convergência de direitos"
1,SIMPLIFICAR_CONVERTER_PARA_VERBO_INFINITIVO,"Em certos contextos, esta perífrase pode ser simplificada.",REDACTION_TIPS," Inegavelmente, o ato de hackear é crime, e o executor desse caso está pagando sua pena, mas deveria ser aberto um novo processo – em segredo de justiça, para que não haja a inviolabilidade da imagem da pessoa – para descobrirem se existe ou não marqueteiro(s)  à trabalho para o atual Presidente da República, pois a justiça deve ter prioridade sobre qualquer direito individual"
2,QUE_FORAM_FOI_SÃO_É_SENDO,"Em certos contextos, esta perífrase pode ser simplificada.",REDACTION_TIPS," O verdadeiro intuito da promulgação de uma nova lei é trazer melhoras para o país, mas a Constituição Federal não é uma ciência exata, sendo assim sempre terá suas brechas"
2,QUE_SUBJ_VS_INF_PESS,Esta perífrase pode ser simplificada.,REDACTION_TIPS,"Chega-se a conclusão que tem que haver uma harmonia entre a liberdade de expressão e a intimidade, para que se possa ter um país no qual a lei deva ser usada de maneira efetiva e trazer benefícios, em vez de confusão, não há de se falar em desrespeito ao liberdade de expressão, quando na verdade o objetivo da lei e trazer melhora, a Constituição não é uma ciência exata, mas para ser efetiva o equilíbrio é fundamental, liberdade com freio não é censura, mas sim harmonia"
3,VIR_A_VERBO_VERBO,"Em certos contextos, esta perífrase pode ser simplificada.",REDACTION_TIPS,"Sendo assim, pode-se perceber que certas entidades articulam-se de meios ""lícitos"" para dissimular e manipular o povo, de modo que, estes, só venham a ter conhecimento daquilo que lhes é conveniente"
4,TER_PARTICIPIO-PASSADO,"Em certos contextos, esta perífrase pode ser simplificada.",REDACTION_TIPS,"A liberdade de expressão e o direito a vida privada tem gerado um considerável conflito, essa problemática advém após jornais sofrerem uma censura por postar informações intimas sobre a vida do presidente da republica Michel temer e a primeira-dama Marcela temer "
4,QUE_SER_ESTAR_PARTPASSADO,"Em certos contextos, esta perífrase pode ser simplificada.",REDACTION_TIPS,"Antes de apontar quem estar certo, é preciso fazer uma breve analise do conteúdo que foi exposto, haja vista que os fatos eram de cunho pessoal, ou seja, sem importância para a sociedade"
5,VERB_QUE_É_VERB_SER,"Em certos contextos, esta perífrase pode ser simplificada.",REDACTION_TIPS,"A liberdade de expressão é um direito expresso e garantido ao cidadão, entretanto, as diversas falhas presentes na constituição podem ocasionar conflitos acerca da sua aplicabilidade, uma vez que existem outros dispositivos legais – como a inviolabilidade da intimidade – que são direta ou indiretamente afetados, e por isso também precisam ser considerados na resolução do conflito"
15,ATRAVES_DE_POR,Pode simplificar a parafrase empregando: “por”.,REDACTION_TIPS,"Em segundo momento podemos salientar que ao contrário da intimidade, a liberdade de expressão pode ser mensurada através de exemplos práticos"
17,QUE_ESTAR_CONTRACAO_PREPOSICAO,"Em certos contextos, esta perífrase pode ser simplificada.",REDACTION_TIPS,"O que se discute é o contexto como as coisas acontecem, aspectos de caráter privado que estão sob sigilo devem ser mantidos assim, e isso é inquestionável, imagina se conversas entre parentes, os problemas familiares, as conversas com psicólogos e tudo isso fosse divulgado nas redes sociais e nos diversos jornais, a vida privada acabaria e todas as pessoas seriam livros de capa aberta, por isso é importante ter limites as publicações "
20,SIMPLIFICAR_QUE_E_TEM_TÊM,Esta perífrase poderá ser simplificada.,REDACTION_TIPS,Uma pessoa que tem virtudes acesas na personalidade seguiria o exemplo do filósofo por ter consciência de que a verdade sempre prevalece
22,E_É_SÃO_FOI_FORAM_SENDO_SIDO,"Em certos contextos, esta perífrase pode ser simplificada.",REDACTION_TIPS,"Contudo, diante dos olhos da sociedade, quem comete a injustiça não será visto com bons olhos, sofrerá a reputação negativa e pode virar vítima da própria maldade, enquanto a vítima continua com sua moral e é valorizada em seu meio social"
26,PARA-POR_TER_PARTICIPIO-PASSADO,"Em certos contextos, esta perífrase pode ser simplificada.",REDACTION_TIPS," Este, por ter agido com má conduta é lembrado até os dias atuais como traidor"
30,QUE_É-SÃO_NC-ADJ_COMO-POR,"Em certos contextos, esta perífrase pode ser simplificada.",REDACTION_TIPS,"Por outro lado, existem pessoas que são injustiçadas por conta do trabalho ou dentro da própria família por conta da escolha da homossexualidade ou por não estarem bem psicologicamente devido o afastamento de pessoas, acabando o individuo a se sentir injustiçado e sozinho, sem apoio familiar ou profissional ocorrendo assim o aumento do ódio por parte dos injustiçados e aumentando os tipos de intolerâncias "
31,CICLO_VICIOSO,Substitua por “círculo vicioso”.,REDACTION_TIPS,"Em virtude do exposto temos por conclusão que as injustiças estão impregnadas na civilização desde seus primórdios e revelam um ciclo vicioso de sofrer injustiças e pratica-las , onde apenas uma transcendência cultural seria capaz de por fim a este fenômeno"
33,PORQUE_É_POR_SER,Esta perífrase poderá ser simplificada.,REDACTION_TIPS,"O costume de sermos injusto nós faz termos alto-piedade,em em vez de praticarmos a verdadeira justiça, não fazemos e julgamos as pessoas que não a fazem, e esse ato nos torna hipócrita , e a nossa grande verdade é se liberta de um mal maior quando praticamos algo errado, isso porque a justiça é uma cura moral"
35,QUE_VERBO,"Em certos contextos, esta perífrase pode ser simplificada.",REDACTION_TIPS,"Sócrates um filosofo que venerava muito o termo virtude , a realização de algo bom para sentir o prazer, considerado felicidade, pois preferia sofrer uma opressão , do que comete-la à alguém, já que, acreditava que o bem feito tornava o homem em um ser melhor"
37,VER_OBSERVAR_CONSTATAR,"Num contexto formal ou académico, é preferível escrever ‘observar’ ou ‘constatar’.",REDACTION_TIPS," Mas e se pudéssemos escolher sobre pratica-lo ou sofre-lo ?Vivemos isso diariamente, chega a ser triste ver a quantidade de pessoas que passam fome no mundo, a saúde cada vez mais precária, nenhum investimento na educação"
49,SAO-E_PARA_SER-SEREM_PARTPASSADO,"Em certos contextos, esta perífrase pode ser simplificada.",REDACTION_TIPS,"Atos de corrupção são um grande atraso na sociedade brasileira onde afeta todas as áreas institucionais, um fato que não era para ser encarado como normal acaba sendo por sua frequência e sua história carregada de corrupção além de uma punição efetiva, a conscientização da população é algo imprescindível, o fato de o brasileiro aprender a separar o profissional do pessoal onde dar um jeitinho para conhecidos não seja algo comum mas visto como ele é um ato de corrupção"
62,VERBO_PARA_PRONOME_PESSOAL,Esta perífrase poderá ser simplificada.,REDACTION_TIPS," Muitos leem uma notícia e se gostam do que está escrito tomam para si como verdade absoluta sem verificarem se é real ou apenas boato, o importante é que a informação seja condizente com a opinião que possuem"
69,E_QUE_VERBO_E_VERBO,"Em certos contextos, esta perífrase pode ser simplificada.",REDACTION_TIPS,"Quando escutamos a palavra ""pós-verdade"", podemos entender que alguém ou algum meio está se beneficiando no direcionamento de opiniões em massaPessoas mal intencionadas e que conhecem os motivos que despertam ira em outras, usam esse conhecimento em seu benefício ao prometer coisas absurdas, onde essas em desespero, mesmo sabendo da polêmica em exageros, preferem acreditar"
71,VERBO1_QUE_VERBO2_VERBO3_O_QUE,"Em certos contextos, esta perífrase pode ser simplificada.",REDACTION_TIPS,"Portanto é preciso que os veículos que prestam informações apurem melhor antes de publicar uma notícia, principalmente as redes sociais, onde muitos acham que podem postar o que quiserem, mesmo que não seja verdade"
91,É_QUE_AS-OS_NC_É-SÃO,"Em certos contextos, esta perífrase pode ser simplificada.",REDACTION_TIPS,"Conclusivamente, o que se percebe é que a filantropia é, sim, um exemplo a ser seguido, não somente sendo realizada com a doação de dinheiro, como também por meio de voluntariado, por exemplo"
97,SER_CAPAZ_DE_CONSEGUIR,"Em certos contextos, esta perífrase pode ser simplificada.",REDACTION_TIPS,"A péssima atitude de criticar a Filantropia se percebe no momento em que se analisa que o Estado não é capaz de cuidar de todos, deixando as pessoas bem sucedidas, financeiramente, ajudar as menos favorecidas"
